sample_id,sample_date,no3_n,k,mg,ca,nh4_n
MPR,1993-10-05,19,0.8,2.02,7.36,NA
MPR,1993-10-13,70,0.71,2.14,8.03,NA
MPR,1993-10-19,8,0.59,1.14,7.11,NA
MPR,1993-10-26,83,0.8,1.77,7.03,NA
MPR,1993-11-02,47,0.61,2.86,9.12,NA
MPR,1993-11-09,7,0.65,1.61,6.58,NA
MPR,1993-11-16,53,1.05,1.93,6.56,NA
MPR,1993-11-23,17,0.94,2.81,9.7,NA
MPR,1993-11-30,19,0.6,1.38,5.15,NA
MPR,1993-12-07,NA,0.54,2.22,8.14,NA
MPR,1993-12-14,52,0.7,2.35,9.98,NA
MPR,1993-12-21,25,0.64,1.29,5.59,NA
MPR,1993-12-28,NA,0.24,0.52,NA,NA
MPR,1994-01-04,NA,0.56,1.02,7.47,NA
MPR,1994-01-11,NA,0.12,0.18,0.21,NA
MPR,1994-01-18,NA,0.55,1.02,7.12,NA
MPR,1994-01-25,NA,0.59,2.17,8.87,NA
MPR,1994-02-01,5,0.56,1.96,7.52,NA
MPR,1994-02-08,9,0.69,1.95,7.54,NA
MPR,1994-02-15,NA,0.55,2.06,8.1,NA
MPR,1994-02-22,5,0.54,0.97,4,NA
MPR,1994-03-01,NA,0.74,2.08,8.55,NA
MPR,1994-03-08,NA,0.79,2.32,9.86,NA
MPR,1994-03-15,NA,0.72,2.41,10.44,NA
MPR,1994-03-22,9,0.81,2.56,11.28,NA
MPR,1994-03-29,NA,0.77,2.48,11.17,NA
MPR,1994-04-05,NA,0.83,2.63,12.21,NA
MPR,1994-04-12,NA,0.7,1.57,5.97,NA
MPR,1994-04-19,NA,0.61,1.88,8.26,NA
MPR,1994-04-26,19,0.74,2.4,10.82,NA
MPR,1994-05-03,27,0.77,2.59,11.6,NA
MPR,1994-05-10,19,0.6,1.32,5.12,NA
MPR,1994-05-17,18,1,1.61,6.88,NA
MPR,1994-05-24,19,0.82,2.31,10.3,NA
MPR,1994-05-31,29,1.2,3.34,11.44,NA
MPR,1994-06-07,12,0.8,2.18,8.58,NA
MPR,1994-06-14,15,0.97,2.55,10.15,NA
MPR,1994-06-21,14,0.84,2.56,10.04,NA
MPR,1994-06-28,NA,0.82,2.06,9.07,NA
MPR,1994-07-05,12,0.83,2.54,10.16,NA
MPR,1994-07-12,38,0.49,1.94,3.02,NA
MPR,1994-07-19,59,0.68,1.71,7.71,NA
MPR,1994-07-26,NA,1.1,2.43,12.08,NA
